year,REGION,STATE,CENSUS2010POP,DOMESTICMIG,POPESTIMATE,DEATHS,BIRTHS,INTERNATIONALMIG,ESTIMATESBASE,NATURALINC
2011,West Region,Washington,6724540,22109,6821655,49850,86680,19797,,36830
2012,West Region,Washington,6724540,12300,6892876,49438,86718,21908,,37280
2013,West Region,Washington,6724540,14660,6962906,51321,87238,19429,,35917
2014,West Region,Washington,6724540,22944,7052439,51268,87393,30640,,36125
2015,West Region,Washington,6724540,43178,7163543,53858,88770,32866,,34912
2016,West Region,Washington,6724540,66774,7294680,54693,89747,29086,,35054
2017,West Region,Washington,6724540,64662,7425432,56067,90701,31204,,34634
2018,West Region,Washington,6724540,46549,7535591,57568,90495,30557,,32927
2010,South Region,West Virginia,1852994,1318,1854214,5233,5104,82,1853001,-129
2011,South Region,West Virginia,1852994,1501,1856074,21908,20466,1867,,-1442
2012,South Region,West Virginia,1852994,730,1856764,21492,20676,890,,-816
2013,South Region,West Virginia,1852994,-2124,1853873,22253,20926,634,,-1327
2014,South Region,West Virginia,1852994,-4254,1849467,21666,20571,996,,-1095
2015,South Region,West Virginia,1852994,-5989,1841996,22782,20088,1268,,-2694
2016,South Region,West Virginia,1852994,-9046,1830929,22459,19416,1037,,-3043
2017,South Region,West Virginia,1852994,-10107,1817048,22629,18547,332,,-4082
2018,South Region,West Virginia,1852994,-7029,1805832,22551,18010,386,,-4541
2010,Midwest Region,Wisconsin,5686986,-3451,5690479,11754,17550,1173,5687282,5796
2011,Midwest Region,Wisconsin,5686986,-8869,5704755,48483,67791,4062,,19308
2012,Midwest Region,Wisconsin,5686986,-10190,5719855,47888,67653,5819,,19765
2013,Midwest Region,Wisconsin,5686986,-7347,5736952,50041,66892,7967,,16851
2014,Midwest Region,Wisconsin,5686986,-9988,5751974,49317,67067,7732,,17750
2015,Midwest Region,Wisconsin,5686986,-15112,5761406,51258,67152,9022,,15894
2016,Midwest Region,Wisconsin,5686986,-11395,5772958,51360,66787,7657,,15427
2017,Midwest Region,Wisconsin,5686986,-3318,5792051,50587,65705,7483,,15118
2018,Midwest Region,Wisconsin,5686986,-1011,5813568,50283,64939,8051,,14656
2010,West Region,Wyoming,563626,-232,564483,1291,1994,171,563773,703
2011,West Region,Wyoming,563626,-47,567224,4450,7471,-237,,3021
2012,West Region,Wyoming,563626,5345,576270,4379,7437,463,,3058
2013,West Region,Wyoming,563626,2387,582123,4616,7515,479,,2899
2014,West Region,Wyoming,563626,-2528,582548,4535,7709,-243,,3174
2015,West Region,Wyoming,563626,-604,585668,4838,7797,776,,2959
2016,West Region,Wyoming,563626,-4601,584290,4797,7582,421,,2785
2017,West Region,Wyoming,563626,-8546,578934,4621,7150,622,,2529
2018,West Region,Wyoming,563626,-3686,577737,4947,6840,597,,1893
2010,Puerto Rico,Puerto Rico,3725789,0,3721525,7138,9603,-7097,3726157,2465
2011,Puerto Rico,Puerto Rico,3725789,0,3678732,30260,41243,-53776,,10983
2012,Puerto Rico,Puerto Rico,3725789,0,3634488,29742,40282,-54784,,10540
2013,Puerto Rico,Puerto Rico,3725789,0,3593077,29399,37871,-49883,,8472
2014,Puerto Rico,Puerto Rico,3725789,0,3534874,28831,35717,-65089,,6886
2015,Puerto Rico,Puerto Rico,3725789,0,3473166,29917,32966,-64757,,3049
2016,Puerto Rico,Puerto Rico,3725789,0,3406495,28497,30104,-68278,,1607
2017,Puerto Rico,Puerto Rico,3725789,0,3325001,29532,26226,-78188,,-3306
2018,Puerto Rico,Puerto Rico,3725789,0,3195153,30771,24322,-123399,,-6449
